role,job_title,company,location,experience,salary,skills,posted_date,exp_min,exp_max,exp_avg,min_sal,max_sal,sal_avg_lpa,skills_list,skills_normalized
Data Scientist,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,,"python, machine learning, tensorflow, pytorch, keras, kubernetes, github, natural language processing",1 week ago,3.0,7.0,5.0,,,,"['python', 'machine learning', 'tensorflow', 'pytorch', 'keras', 'kubernetes', 'github', 'natural language processing']","python, machine learning, tensorflow, pytorch, keras, kubernetes, github, natural language processing"
Data Scientist,Data Scientist,Razorthink,"Hyderabad, Bengaluru, Delhi / NCR",3-6 Yrs,,"Python, Scikit-learn, machine learning, data visualizations, NumPy, SQL, Data Science, AI/ML",5 days ago,3.0,6.0,4.5,,,,"['python', 'scikit', 'learn', 'machine learning', 'data visualizations', 'numpy', 'sql', 'data science', 'ai', 'ml']","python, scikit, learn, machine learning, data visualizations, numpy, sql, data science, ai, ml"
Data Scientist,Data Scientist,Euromonitor,Hybrid - Bengaluru,3-4 Yrs,,"Natural Language Processing, Neural Networks, Machine Learning, Deep Learning, Python, Process, Languages, Processing",6 days ago,3.0,4.0,3.5,,,,"['natural language processing', 'neural networks', 'machine learning', 'deep learning', 'python', 'process', 'languages', 'processing']","natural language processing, neural networks, machine learning, deep learning, python, process, languages, processing"
Data Scientist,Data Scientist (Hybrid),Kaplan,Bengaluru,2-7 Yrs,,"advanced analytics, Provident fund, data science, Analytical, Machine learning, market data, data visualization, Data mining",2 weeks ago,2.0,7.0,4.5,,,,"['advanced analytics', 'provident fund', 'data science', 'analytical', 'machine learning', 'market data', 'data visualization', 'data mining']","advanced analytics, provident fund, data science, analytical, machine learning, market data, data visualization, data mining"
Data Scientist,Data Scientist III,Meesho,Bengaluru,4-7 Yrs,,"python, machine learning algorithms, hypothesis, linear algebra, statistics, algorithms, natural language processing, amazon redshift",1 week ago,4.0,7.0,5.5,,,,"['python', 'machine learning algorithms', 'hypothesis', 'linear algebra', 'statistics', 'algorithms', 'natural language processing', 'amazon redshift']","python, machine learning algorithms, hypothesis, linear algebra, statistics, algorithms, natural language processing, amazon redshift"
Data Scientist,Data Scientist III,Walmart,Bengaluru,4-9 Yrs,,"Supply chain, Computer science, Networking, Pharmacy, SEZ, Support services, Information technology, Analytics",1 week ago,4.0,9.0,6.5,,,,"['supply chain', 'computer science', 'networking', 'pharmacy', 'sez', 'support services', 'information technology', 'analytics']","supply chain, computer science, networking, pharmacy, sez, support services, information technology, analytics"
Data Scientist,Data Scientist IV,Meesho,Bengaluru,6-8 Yrs,,"python, sql, sem, ml, statistics, hive, cnn, supervised learning",1 week ago,6.0,8.0,7.0,,,,"['python', 'sql', 'sem', 'ml', 'statistics', 'hive', 'cnn', 'supervised learning']","python, sql, sem, ml, statistics, hive, cnn, supervised learning"
Data Scientist,"Product Data Scientist, Google Play Games",Google,Bengaluru,1-4 Yrs,,"python, mobile advertising, analysis, sql, Google, Games, Data, Advertising",1 week ago,1.0,4.0,2.5,,,,"['python', 'mobile advertising', 'analysis', 'sql', 'google', 'games', 'data', 'advertising']","python, mobile advertising, analysis, sql, google, games, data, advertising"
Data Scientist,AI Engineer Data Scientist Sales and Marketing,Quara Ai Tech,Remote,4-6 Yrs,,"pandas, scikit-learn, TensorFlow/PyTorch, NLP libraries, Pytorch, Library, Tensorflow, Sales",1 week ago,4.0,6.0,5.0,,,,"['pandas', 'scikit', 'learn', 'tensorflow', 'pytorch', 'nlp libraries', 'library', 'sales']","pandas, scikit, learn, tensorflow, pytorch, nlp libraries, library, sales"
Data Scientist,Data Engineer / Data Scientist (Azure),Trantor,Hybrid - Noida,9-14 Yrs,25-40 Lacs PA,"Business Intelligence, Azure, Data Architecture, Sql Performance Tuning, Java, Datafactory, Python, Data",6 days ago,9.0,14.0,11.5,25.0,40.0,32.5,"['business intelligence', 'azure', 'data architecture', 'sql performance tuning', 'java', 'datafactory', 'python', 'data']","business intelligence, azure, data architecture, sql performance tuning, java, datafactory, python, data"
Data Scientist,Data Scientist 4,Granicus Inc,Remote,7-12 Yrs,,"Data Science, Machine Learning, Artificial Intelligence, Python, Intelligence, Science, Data, Machine",3 days ago,7.0,12.0,9.5,,,,"['data science', 'machine learning', 'artificial intelligence', 'python', 'intelligence', 'science', 'data', 'machine']","data science, machine learning, artificial intelligence, python, intelligence, science, data, machine"
Data Scientist,Data Scientist,Evnek,Bengaluru,1-5 Yrs,,"python, hypothesis testing, business acumen, sql, data science, scipy, natural language processing, scikit-learn",5 days ago,1.0,5.0,3.0,,,,"['python', 'hypothesis testing', 'business acumen', 'sql', 'data science', 'scipy', 'natural language processing', 'scikit', 'learn']","python, hypothesis testing, business acumen, sql, data science, scipy, natural language processing, scikit, learn"
Data Scientist,Data Scientist,Wesco,Bengaluru,3-8 Yrs,,"Computer science, Automation, C++, Data analysis, Coding, MySQL, Javascript, Data mining",5 days ago,3.0,8.0,5.5,,,,"['computer science', 'automation', 'c++', 'data analysis', 'coding', 'mysql', 'javascript', 'data mining']","computer science, automation, c++, data analysis, coding, mysql, javascript, data mining"
Data Scientist,Data Scientist,Leading Client,Jaipur,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,IBM,Bengaluru,9-14 Yrs,,"python, microsoft azure, machine learning, sql, cloud architecture, rest, semantic, algorithms",1 week ago,9.0,14.0,11.5,,,,"['python', 'azure', 'machine learning', 'sql', 'cloud architecture', 'rest', 'semantic', 'algorithms']","python, azure, machine learning, sql, cloud architecture, rest, semantic, algorithms"
Data Scientist,Data Scientist,Apexon,"Hyderabad, Pune, Bengaluru",4-9 Yrs,,"Agentic Ai, Gen AI, RAG, Python, Data, Gen, Artificial Intelligence",5 days ago,4.0,9.0,6.5,,,,"['agentic ai', 'gen ai', 'rag', 'python', 'data', 'gen', 'artificial intelligence']","agentic ai, gen ai, rag, python, data, gen, artificial intelligence"
